added_to_manifest,chart_type,date,description,html_filename,page_type,path
2026-01-22 10:12:57,2D Charts,2026-01-22,AreaChart Examples,areachart_examples.html,Chart Tutorial,..
2026-01-22 10:13:00,Distributional Charts,2026-01-22,BoxAndWhiskers Examples,boxandwhiskers_examples.html,Chart Tutorial,..
2026-01-22 10:13:02,Text & Code,2026-01-22,CodeBlock Examples,codeblock_examples.html,Chart Tutorial,..
2026-01-22 10:13:07,Distributional Charts,2026-01-22,DistPlot Examples,distplot_examples.html,Chart Tutorial,..
2026-01-22 10:13:09,Distributional Charts,2026-01-22,KernelDensity Examples,kerneldensity_examples.html,Chart Tutorial,..
2026-01-22 10:13:12,2D Charts,2026-01-22,LineChart Examples,linechart_examples.html,Chart Tutorial,..
2026-01-22 10:13:12,Text & Code,2026-01-22,LinkList Examples,linklist_examples.html,Chart Tutorial,..
2026-01-22 10:13:18,Situational Charts,2026-01-22,Graph Examples,graph_examples.html,Chart Tutorial,..
2026-01-22 10:13:19,Multi-Page Reports,2026-01-22,Multi-Page Report (Manual LinkList),annual_report.html,Multi-Page Example,../annual_report
2026-01-22 10:13:19,Multi-Page Reports,2026-01-22,Multi-Page Report (Easy Constructor),easy_report.html,Multi-Page Example,../easy_report
2026-01-22 10:13:24,Situational Charts,2026-01-22,Path Examples,path_examples.html,Chart Tutorial,..
2026-01-22 10:13:47,Images & Slides,2026-01-22,Picture Examples,picture_examples.html,Chart Tutorial,..
2026-01-22 10:13:50,2D Charts,2026-01-22,PieChart Examples,piechart_examples.html,Chart Tutorial,..
2026-01-22 10:13:51,Situational Charts,2026-01-22,RadarChart Examples,radarchart_examples.html,Chart Tutorial,..
2026-01-22 10:13:53,3D Charts,2026-01-22,Scatter3D Examples,scatter3d_examples.html,Chart Tutorial,..
2026-01-22 10:13:54,2D Charts,2026-01-22,ScatterPlot Examples,scatterplot_examples.html,Chart Tutorial,..
2026-01-22 10:13:55,3D Charts,2026-01-22,Surface3D Examples,surface3d_examples.html,Chart Tutorial,..
2026-01-22 10:13:58,3D Charts,2026-01-22,ScatterSurface3D Examples,scattersurface3d_example.html,Chart Tutorial,..
2026-01-22 10:14:03,Images & Slides,2026-01-22,Slides Examples (Embedded),slides_examples_embedded.html,Chart Tutorial,..
2026-01-22 10:14:06,Tables,2026-01-22,Table Examples,table_examples.html,Chart Tutorial,..
2026-01-22 10:14:06,Text & Code,2026-01-22,TextBlock Examples,textblock_examples.html,Chart Tutorial,..
2026-01-22 10:14:08,Variable Relationship Charts,2026-01-22,TSNEPlot Examples,tsneplot_examples.html,Chart Tutorial,../tsneplot_examples
2026-01-22 10:14:10,Situational Charts,2026-01-22,Waterfall Examples,waterfall_examples.html,Chart Tutorial,..
2026-01-22 10:14:10,Situational Charts,2026-01-22,SanKey Examples,sankey_examples.html,Chart Tutorial,..
2026-01-22 10:14:14,Variable Relationship Charts,2026-01-22,CorrPlot Examples,corrplot_examples.html,Chart Tutorial,..
2026-01-22 10:14:15,Situational Charts,2026-01-22,BumpChart Examples,bumpchart_examples.html,Chart Tutorial,..
2026-01-22 10:14:16,Financial Charts,2026-01-22,CandlestickChart Examples,candlestickchart_examples.html,Chart Tutorial,..
2026-01-22 10:14:39,GIS / Geographic Charts,2026-01-22,GeoPlot Examples,geoplot_examples.html,Chart Tutorial,..
2026-01-22 10:14:42,Tables,2026-01-22,PivotTable Examples,pivottable_examples.html,Chart Tutorial,..
2026-01-22 10:33:44,Documentation,2026-01-22,JSPlots.jl Documentation,z_general_example.html,Documentation,.
